Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
-4360,,,,,-30.2,-178.47,6,
-4350,,,,,30.78,130.28,7,
-4050,,,,,11.984,-86.161,6,
-4000,,,,,-5.58,150.52,6,
-3580,,,,,14.002,120.993,6,
-3550,,,,,15.13,120.35,6,
-2420,,,,,40.821,14.426,5,
-2040,,,,,-5.358,147.12,6,
-1900,,,,,56.53,-158.8,6,
-1860,,,,,46.2,-122.18,6,
-1750,,,,,56.17,-159.38,6,
-1645,,,,,56.88,-158.17,6,
-1610,,,TSU,EQ,36.404,25.396,6,
-1550,,,TSU,,60.48,-152.75,,
-1460,,,,,-38.82,176,6,
-1370,,,,,-5.58,150.52,6,
-1050,,,,,15.13,120.35,6,
-1010,,,,,-1.467,-78.442,5,
-455,,,,,-0.677,-78.436,4,
-250,,,,,-29.27,-177.92,6,
-197,,,TSU,,36.404,25.396,3,
-150,,,,,-2.38,147.35,,
-141,,,,,37.734,15.004,,40
-100,,,,,53.42,-168.13,6,
-50,,,,,12.242,-86.342,6,
46,,,TSU,,36.404,25.396,3,
50,,,,,-16.25,168.12,6,
60,,,,,61.38,-141.75,6,
79,8,25,,,40.821,14.426,5,2100
200,,,,,15.63,44.08,,
230,,,,,-38.82,176,6,
240,,,,,51.8,157.53,6,
350,,,TSU,,59.37,-153.42,,
416,,,TSU,,-6.102,105.423,,
450,,,,,13.672,-89.053,6,30000
500,,,,,15.63,44.08,,
540,,,,,-4.271,152.203,6,
590,,,,,13.736,-89.286,,
640,,,,,27.08,37.25,2,
710,,,,,-5.58,150.52,6,
764,,,,,31.58,130.67,4,80
766,7,20,TSU,EQ,31.58,130.67,3,
787,,,,,40.821,14.426,3,
800,,,,,-5.056,150.108,6,
800,,,,,61.38,-141.75,6,
920,,,,,63.63,-19.05,4,
930,,,,,21.125,-104.508,6,
934,,,,,63.63,-19.05,4,
950,,,,,63.63,-19.05,,
1000,,,,,41.98,128.08,7,
1050,,,TSU,,36.404,25.396,,
1104,10,15,,,63.98,-19.7,5,
1151,,,,,63.93,-22.1,1,
1158,1,19,,,63.98,-19.7,4,
1169,2,4,TSU,EQ,37.734,15.004,,
1169,2,11,TSU,,37.734,15.004,,
1177,,,,,63.63,-19.05,3,
1206,12,4,,,63.98,-19.7,2,
1250,,,,,8.975,39.93,,
1262,,,,,63.63,-19.05,3,
1280,,,,,-0.85,-78.9,6,
1300,7,11,,,63.98,-19.7,4,
1302,,,,,40.73,13.897,,
1311,1,18,,,63.63,-19.05,4,
1311,,,,,-7.93,112.308,3,
1329,6,28,TSU,,37.734,15.004,3,
1329,7,,,,37.734,15.004,1,
1331,12,,,,32.88,131.1,2,
1334,,,,,-7.93,112.308,3,
1341,5,19,,,63.98,-19.7,3,
1357,,,,,63.63,-19.05,4,
1362,6,5,,,64,-16.65,5,220
1375,,,,,17.36,-93.228,5,
1376,,,,,-7.93,112.308,3,
1385,,,,,-7.93,112.308,3,
1389,12,1,,,63.98,-19.7,3,
1410,3,5,,,37.12,139.97,3,180
1452,,,,,-16.829,168.536,6,
1471,11,3,,,31.58,130.67,5,
1477,2,,,,64.63,-17.53,6,
1485,1,,,,32.88,131.1,2,1
1500,,,,,63.63,-19.05,4,
1510,7,25,,,63.98,-19.7,4,1
1510,10,15,,,63.98,-19.7,4,
1536,3,23,,,37.734,15.004,3,1
1538,9,29,,,40.827,14.139,3,24
1540,,,TSU,,59.37,-153.42,4,
1550,11,,,,1.68,127.88,3,
1564,12,31,,,1.375,127.52,3,
1565,8,,,EQ,14.381,-90.601,3,
1566,10,31,,,31.93,130.87,3,
1568,,,,,-9.13,159.82,3,1001
1570,,,,,11.826,-85.968,,400
1576,,,,,19.514,-103.62,3,
1580,5,1,,,38.65,-28.08,3,10
1580,8,11,,,63.63,-19.05,4,
1580,,,,,-6.092,155.225,6,
1581,12,26,,,14.473,-90.88,4,
1586,,,,,-7.93,112.308,5,10000
1587,,,,,-7.542,110.442,4,
1590,1,15,,,19.514,-103.62,3,
1593,,,,,-8.125,114.042,5,
1595,3,12,,,4.895,-75.322,4,636
1596,5,1,,,36.4,138.53,2,
1597,1,3,,,63.98,-19.7,4,
1597,,,,,-8.125,114.042,3,
1598,5,13,,,36.4,138.53,2,800
1598,,,,,-4.525,129.871,3,
1600,2,19,,EQ,-16.608,-70.85,6,1500
1606,1,23,TSU,,33.13,139.77,2,
1608,7,18,TSU,,0.8,127.325,3,
1609,,,,,25.32,98.47,,
1615,3,,,,-4.525,129.871,3,
1617,,,,,14.473,-90.88,3,
1625,9,2,,,63.63,-19.05,5,
1629,,,,,64.42,-17.33,2,4
1630,9,3,,,37.77,-25.32,4,200
1631,2,14,,EQ,11.28,41.63,,50
1631,12,16,TSU,EQ,40.821,14.426,5,4000
1636,5,15,,,63.98,-19.7,3,
1638,,,,,-8.125,114.042,4,1001
