Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time
Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,Historical,D1
Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,Historical,D1
Akagi,Honshu-Japan,Japan,36.53,139.18,1828,Stratovolcano,Historical,D6
Akita-Yake-yama,Honshu-Japan,Japan,39.97,140.77,1366,Complex volcano,Historical,D1
Alaid,Kuril Is,Russia,50.858,155.55,2339,Stratovolcano,Historical,D1
Alayta,Africa-NE,Ethiopia,12.88,40.57,1501,Shield volcano,Historical,D2
Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,Fumarolic,U
Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,Historical,D1
Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,Historical,D1
Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,Historical,D2
Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,Historical,D1
Aoga-shima,Izu Is-Japan,Japan,32.45,139.77,423,Stratovolcano,Historical,D4
Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,Radiocarbon,D7
Ararat,Turkey,Turkey,39.7,44.28,5165,Stratovolcano,Holocene,U
Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,Historical,D1
"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,Historical,D6
Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,D1
Askja,Iceland-NE,Iceland,65.03,-16.75,1516,Stratovolcano,Historical,D2
Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,Historical,D1
Asuncion,Mariana Is-C Pacific,United States,19.67,145.4,857,Stratovolcano,Historical,D2
Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,Historical,D1
Avachinsky,Kamchatka,Russia,53.255,158.83,2741,Stratovolcano,Historical,D1
Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,Historical,D1
"Azul, Cerro",Galapagos,Ecuador,-0.9,-91.42,1690,Shield volcano,Historical,D1
Azuma,Honshu-Japan,Japan,37.73,140.25,2024,Stratovolcano,Historical,D1
Bagana,Bougainville-SW Paci,Papua New Guinea,-6.14,155.195,1750,Lava cone,Historical,D1
Balbi,Bougainville-SW Paci,Papua New Guinea,-5.83,154.98,2715,Stratovolcano,Holocene,U
Bam,New Guinea-NE of,Papua New Guinea,-3.6,144.85,685,Stratovolcano,Historical,D2
Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,Historical,D1
Bandai,Honshu-Japan,Japan,37.6,140.08,1819,Stratovolcano,Historical,D3
Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,Historical,D2
Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,Historical,D2
Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,Historical,D1
Bezymianny,Kamchatka,Russia,55.978,160.587,2882,Stratovolcano,Historical,D1
Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,Radiocarbon,D5
Black Peak,Alaska Peninsula,United States,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7
Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6
Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,Historical,D1
Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,Historical,D2
"Cameroon, Mt.",Africa-W,Cameroon,4.203,9.17,4095,Stratovolcano,Historical,D1
Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2
Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,Historical,D5
Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,Historical,D1
Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,Historical,D3
Cereme,Java,Indonesia,-6.892,108.4,3078,Stratovolcano,Historical,D2
Chaiten,Chile-S,Chile,-42.833,-72.646,962,Caldera,Holocene,D1
Changbaishan,China-E,North Korea,41.98,128.08,2744,Stratovolcano,Historical,D4
"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1
Chokai,Honshu-Japan,Japan,39.08,140.03,2237,Stratovolcano,Historical,D1
Cleveland,Aleutian Is,United States,52.82,-169.95,1730,Stratovolcano,Historical,D1
Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1
Colo [Una Una],Sulawesi-Indonesia,Indonesia,-0.17,121.608,507,Stratovolcano,Historical,D1
Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical,D3
Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2
Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,Tephrochronology,D6
Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,Anthropology,D3
Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,Historical,D5
Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,Historical,D1
Didicas,Luzon-N of,Philippines,19.077,122.202,244,Compound volcano,Historical,D1
Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,Historical,D1
Dona Juana,Colombia,Colombia,1.47,-76.92,4150,Stratovolcano,Historical,D2
Dubbi,Africa-NE,Eritrea,13.58,41.808,1625,Stratovolcano,Historical,D3
Dukono,Halmahera-Indonesia,Indonesia,1.68,127.88,1185,Complex volcano,Historical,D1
Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,1703,Stratovolcano,Historical,D2
